Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
9.278000000000000469e+00,1.000000000000000000e+00,2.702331249999999727e+02,1.900000000000000000e+01,2.470766591999999946e+03,3.410640433333333021e+01,-1.177120416666666642e+02,2.470838342999999895e+03
9.269999999999999574e+00,1.000000000000000000e+00,2.696385416666666401e+02,1.900000000000000000e+01,2.471066518000000087e+03,3.410640433333333021e+01,-1.177120416666666642e+02,2.471140163999999913e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.698435416666666811e+02,1.900000000000000000e+01,2.471066518000000087e+03,3.410640433333333021e+01,-1.177120416666666642e+02,2.471140163999999913e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.701283333333333303e+02,1.900000000000000000e+01,2.471866762000000108e+03,3.410640366666666523e+01,-1.177120423333333292e+02,2.471949556999999913e+03
9.269999999999999574e+00,1.000000000000000000e+00,2.703283333333333189e+02,2.200000000000000000e+01,2.471866762000000108e+03,3.410640366666666523e+01,-1.177120423333333292e+02,2.471949556999999913e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.703183333333333280e+02,2.200000000000000000e+01,2.472166686999999911e+03,3.410640316666666649e+01,-1.177120429999999942e+02,2.472247318000000178e+03
9.291999999999999815e+00,1.000000000000000000e+00,2.705183333333333167e+02,1.700000000000000000e+01,2.472166686999999911e+03,3.410640316666666649e+01,-1.177120429999999942e+02,2.472247318000000178e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.698981249999999932e+02,1.700000000000000000e+01,2.472466612000000168e+03,3.410640316666666649e+01,-1.177120429999999942e+02,2.472537138000000141e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.700931249999999864e+02,1.700000000000000000e+01,2.472466612000000168e+03,3.410640316666666649e+01,-1.177120429999999942e+02,2.472537138000000141e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.697381250000000250e+02,2.100000000000000000e+01,2.472766537999999855e+03,3.410640316666666649e+01,-1.177120429999999942e+02,2.472844000999999935e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.699331250000000182e+02,1.700000000000000000e+01,2.472766537999999855e+03,3.410640316666666649e+01,-1.177120429999999942e+02,2.472844000999999935e+03
