Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
1.324000000000000021e+01,1.000000000000000000e+00,9.058833333333333826e+01,2.300000000000000000e+01,2.125116903000000093e+03,3.410641116666666761e+01,-1.177119931666666730e+02,2.125197256999999809e+03
1.290199999999999925e+01,1.000000000000000000e+00,8.994833333333333769e+01,1.000000000000000000e+02,2.125716754000000037e+03,3.410641116666666761e+01,-1.177119931666666730e+02,2.125793016000000080e+03
1.319800000000000040e+01,1.000000000000000000e+00,9.014833333333334053e+01,1.900000000000000000e+01,2.125716754000000037e+03,3.410641116666666761e+01,-1.177119931666666730e+02,2.125793016000000080e+03
1.324200000000000088e+01,1.000000000000000000e+00,9.032833333333333314e+01,2.500000000000000000e+01,2.126316605999999865e+03,3.410641100000000137e+01,-1.177119930000000068e+02,2.126388958000000002e+03
1.323799999999999955e+01,1.000000000000000000e+00,9.052833333333333599e+01,2.300000000000000000e+01,2.126316605999999865e+03,3.410641100000000137e+01,-1.177119930000000068e+02,2.126388958000000002e+03
1.280400000000000027e+01,1.000000000000000000e+00,8.977833333333333599e+01,1.000000000000000000e+02,2.126916456999999809e+03,3.410641100000000137e+01,-1.177119930000000068e+02,2.126995914000000084e+03
1.291399999999999970e+01,1.000000000000000000e+00,8.997833333333333883e+01,9.700000000000000000e+01,2.126916456999999809e+03,3.410641100000000137e+01,-1.177119930000000068e+02,2.126995914000000084e+03
1.291200000000000081e+01,1.000000000000000000e+00,9.000812500000000682e+01,8.900000000000000000e+01,2.127416775000000143e+03,3.410641083333333512e+01,-1.177119926666666601e+02,2.127496352999999999e+03
1.321799999999999997e+01,1.000000000000000000e+00,9.020312500000000000e+01,1.900000000000000000e+01,2.127416775000000143e+03,3.410641083333333512e+01,-1.177119926666666601e+02,2.127496352999999999e+03
1.294800000000000040e+01,1.000000000000000000e+00,9.003854166666667425e+01,4.400000000000000000e+01,2.127716700999999830e+03,3.410641083333333512e+01,-1.177119926666666601e+02,2.127794694000000163e+03
1.323399999999999999e+01,1.000000000000000000e+00,9.024354166666667254e+01,2.500000000000000000e+01,2.127716700999999830e+03,3.410641083333333512e+01,-1.177119926666666601e+02,2.127794694000000163e+03
1.290199999999999925e+01,1.000000000000000000e+00,8.989833333333334053e+01,9.900000000000000000e+01,2.128016626999999971e+03,3.410641083333333512e+01,-1.177119926666666601e+02,2.128092886999999791e+03
1.304800000000000004e+01,1.000000000000000000e+00,9.009833333333334338e+01,2.900000000000000000e+01,2.128016626999999971e+03,3.410641083333333512e+01,-1.177119926666666601e+02,2.128092886999999791e+03
1.322400000000000020e+01,1.000000000000000000e+00,9.028854166666667425e+01,2.500000000000000000e+01,2.128316551999999774e+03,3.410641083333333512e+01,-1.177119928333333263e+02,2.128391338999999789e+03
1.323600000000000065e+01,1.000000000000000000e+00,9.049354166666667254e+01,2.500000000000000000e+01,2.128316551999999774e+03,3.410641083333333512e+01,-1.177119928333333263e+02,2.128391338999999789e+03
1.259999999999999964e+01,1.000000000000000000e+00,8.969833333333333769e+01,1.000000000000000000e+02,2.128616477999999915e+03,3.410641083333333512e+01,-1.177119928333333263e+02,2.128689171999999871e+03
1.290199999999999925e+01,1.000000000000000000e+00,8.989833333333334053e+01,1.000000000000000000e+02,2.128616477999999915e+03,3.410641083333333512e+01,-1.177119928333333263e+02,2.128689171999999871e+03
1.316000000000000014e+01,1.000000000000000000e+00,9.013833333333333542e+01,1.900000000000000000e+01,2.129416721999999936e+03,3.410641116666666761e+01,-1.177119926666666601e+02,2.129487748999999894e+03
1.324200000000000088e+01,1.000000000000000000e+00,9.033833333333333826e+01,2.300000000000000000e+01,2.129416721999999936e+03,3.410641116666666761e+01,-1.177119926666666601e+02,2.129487748999999894e+03
1.289600000000000080e+01,1.000000000000000000e+00,8.986791666666667311e+01,1.000000000000000000e+02,2.129716648000000077e+03,3.410641116666666761e+01,-1.177119926666666601e+02,2.129786081000000195e+03
1.297199999999999953e+01,1.000000000000000000e+00,9.005791666666667084e+01,4.200000000000000000e+01,2.129716648000000077e+03,3.410641116666666761e+01,-1.177119926666666601e+02,2.129786081000000195e+03
1.296799999999999997e+01,1.000000000000000000e+00,9.005854166666667027e+01,3.800000000000000000e+01,2.130016572999999880e+03,3.410641116666666761e+01,-1.177119926666666601e+02,2.130095330999999987e+03
1.322600000000000087e+01,1.000000000000000000e+00,9.026354166666666856e+01,2.500000000000000000e+01,2.130016572999999880e+03,3.410641116666666761e+01,-1.177119926666666601e+02,2.130095330999999987e+03
1.262199999999999989e+01,1.000000000000000000e+00,8.969833333333333769e+01,1.000000000000000000e+02,2.130616425000000163e+03,3.410641150000000010e+01,-1.177119926666666601e+02,2.130696066999999857e+03
1.290600000000000058e+01,1.000000000000000000e+00,8.989833333333334053e+01,9.900000000000000000e+01,2.130616425000000163e+03,3.410641150000000010e+01,-1.177119926666666601e+02,2.130696066999999857e+03
1.323199999999999932e+01,1.000000000000000000e+00,9.029812500000001307e+01,2.500000000000000000e+01,2.131116743000000042e+03,3.410641150000000010e+01,-1.177119928333333263e+02,2.131191871999999876e+03
